,year,title
9813,2017,Education Finance and Policy
9815,2018,American Journal of Obstetrics and Gynecology
9820,2018,Journal of Aging & Social Policy
9823,2019,Agricultural and Food Economics
9838,2018,Journal of Environmental Economics and Management
9840,2017,Biogeosciences
9844,2020,OSF Preprints (OSF Preprints)
9849,2022,Regional Science Policy & Practice
9856,2022,Ecohydrology
9857,2022,International Journal of Molecular Sciences
9860,2023,Georgia Journal of College Student Affairs
9862,2022,Frontiers in Climate
9865,2022,Trials
9869,2021,Journal of the American Medical Directors Association
9873,2020,Journal of the Georgia Public Health Association
9875,2021,International Journal of Obesity
9878,2021,Journal of Managed Care & Specialty Pharmacy
9885,2023,AJPM Focus
9889,2022,ISPRS International Journal of Geo-Information
9892,2017,Journal of Poverty
9894,2022,Cancer Causes & Control
9903,2019,Journal of Asthma
9908,2021,SHAREOK (University of Oklahoma)
9911,2019,Food and public health
9912,2019,The Review of Economic Studies
9913,2019,CaltechAUTHORS (California Institute of Technology)
9914,2022,The International Food and Agribusiness Management Review
9921,2019,Human Ecology
9923,2019,Phytopathology
9927,2020,Children and Youth Services Review
9932,2021,Bird Conservation International
9933,2017,Deleted Journal
9944,2019,Frontiers in Built Environment
9946,2019,Journal of the American Association for Laboratory Animal Science
9950,2017,Journal of Children and Media
9955,2018,OECD Economics Department working papers
9957,2020,Observational Studies
9963,2023,Research in Higher Education
9971,2019,Child Development
9972,2019,Data Archiving and Networked Services (DANS)
9973,2019,VU Research Portal
9981,2019,Journal of the Asian Real Estate Society
9987,2017,American Journal of Potato Research
9988,2020,International Journal of Livestock Production
9989,2018,Labour Economics
9991,2017,Preventive Medicine
10000,2018,Construction Research Congress 2018
10001,2019,Journal of Children and Poverty
10003,2019,Historical Reflections/Réflexions Historiques
10004,2019,Aberdeen University Research Archive (Aberdeen University)
10012,2019,Palgrave studies in agricultural economics and food policy
10014,2017,Natural Areas Journal
10015,2020,Journal of Critical Thought and Praxis
10022,2019,Journal of Social and Personal Relationships
10023,2018,G3 Genes Genomes Genetics
10031,2020,Fire Ecology
10036,2021,Health and Quality of Life Outcomes
10040,2018,Journal of Applied Animal Welfare Science
10042,2018,Lirias (KU Leuven)
10047,2020,Utah State Research and Scholarship (Utah State University)
10051,2024,Ecology
10063,2020,Implementation Science Communications
10067,2020,The American Review of Public Administration
10068,2020,IUScholarWorks (Indiana University)
10069,2023,American Journal of Epidemiology
10070,2023,Edinburgh Research Explorer (University of Edinburgh)
10079,2018,Weather and Forecasting
10090,2019,Space and Culture
10091,2021,Harvard Dataverse
10097,2022,Wyoming Law Review
10098,2017,SpringerBriefs in environmental science
10111,2017,ODU Digital Commons (Old Dominion University)
10118,2017,Forest Ecosystems
10121,2018,PLoS neglected tropical diseases
10126,2024,Frontiers in Psychology
10130,2018,Sociology of Education
10136,2022,Current Nutrition Reports
10145,2022,Current Obstetrics and Gynecology Reports
10146,2023,American Economic Review
10147,2022,Journal of the American College of Surgeons
10153,2018,Journal of surgical education
10162,2022,Geoscientific model development
10165,2017,Cogent Food & Agriculture
10166,2023,International Journal for Equity in Health
10169,2022,Journal of Ecology
10172,2017,MDPI (MDPI AG)
10173,2023,BMC Geriatrics
10178,2023,Field Crops Research
10179,2018,Invasive Plant Science and Management
10186,2024,Logistics
10188,2023,International Studies Perspectives
10193,2019,Eurasia Journal of Mathematics Science and Technology Education
10194,2019,The Canadian Entomologist
10195,2022,Population Research and Policy Review
10197,2022,SocArXiv (OSF Preprints)
10199,2019,Review of Economics of the Household
10205,2022,The Annals of Regional Science
10209,2023,Diabetes
10210,2020,Frontiers in Veterinary Science
10214,2021,Microorganisms
10217,2021,IRTA (Institut de Recerca i Tecnologia Agroalimentaries)
10218,2021,Dipòsit Digital de Documents de la UAB (Universitat Autònoma de Barcelona)
10220,2023,International Journal of Health Geographics
10230,2017,SpringerBriefs in public health
10231,2021,Stroke
10234,2023,Ecology
10237,2023,Institutional Repository University of Antwerp (University of Antwerp)
10246,2023,Policy & Internet
10254,2017,Journal of Genetic Counseling
10259,2021,European Journal of Public Health
10260,2018,Sociological Quarterly
10262,2017,Michigan Law Review
10264,2019,EFSA Supporting Publications
10265,2023,Current Orthopaedic Practice
10266,2022,Environments
10269,2020,Contemporary Rural Social Work Journal
10270,2020,Murray State's Digital Commons (Murray State University)
10271,2023,Journal for Labour Market Research
10277,2023,Working paper
10280,2017,Aquatic Botany
10289,2022,Social Problems
10291,2017,OSF Preprints (OSF Preprints)
10303,2018,Field Methods
10306,2017,Journal of School Health
10313,2022,Energies
10318,2018,International Journal of Plant Sciences
10322,2021,Global Ecology and Biogeography
10323,2021,Scopus (Elsevier)
10327,2023,Frontiers in Water
10332,2019,Child & Youth Care Forum
10340,2018,Journal of Animal Science
10344,2023,Evolutionary Applications
10349,2019,Environmental Health Insights
10357,2018,Queensland Department of Agriculture and Fisheries archive of scientific and research publications (Queensland Department of Agriculture and Fisheries)
10361,2022,Computational Urban Science
10369,2022,Current Developments in Nutrition
10379,2019,Research Online (University of Wollongong)
10386,2017,Natural Resource Modeling
10387,2017,ISU Red - Research and eData (Illinois State University)
10392,2018,Hydrological Sciences Journal
10397,2018,Gynecologic Oncology
10405,2023,Journal of Public Health Management and Practice
10410,2019,Journal of Irrigation and Drainage Engineering
10411,2020,Palgrave Macmillan UK eBooks
10412,2018,European Journal of Law and Economics
10413,2018,Business Economics
10414,2019,Transboundary and Emerging Diseases
10417,2018,Behavioral Medicine
10428,2022,Journal of Data Science
10429,2018,Revista Brasileira de Zootecnia
10432,2023,Administrative Sciences
10433,2023,MDPI (MDPI AG)
10434,2023,Digital Commons - USU (Utah State University)
10435,2023,Utah State Research and Scholarship (Utah State University)
10439,2017,Scholar Works  (Boise State University)
10445,2023,BioMedical Engineering OnLine
10454,2022,The journal of nutrition health & aging
10458,2023,Emerging infectious diseases
10461,2019,Biogeosciences
10477,2019,Horticulturae
10479,2023,Cancer Causes & Control
10482,2021,Behavioral Sciences
10487,2023,COVID
10488,2023,Community Mental Health Journal
10491,2021,Research Ideas and Outcomes
10494,2021,Atmosphere
10503,2020,Applied Engineering in Agriculture
10506,2018,bepress Legal Repository (Bepress (United States))
10507,2018,LawArXiv (OSF Preprints)
10513,2022,Frontiers in Veterinary Science
10523,2021,SocArXiv (OSF Preprints)
10526,2022,Pest Management Science
10529,2018,The B E Journal of Economic Analysis & Policy
10530,2024,Frontiers in Sustainable Energy Policy
10532,2020,Weather Climate and Society
10534,2022,Frontiers in Big Data
10541,2021,Environmental Challenges
10545,2022,Environmental Monitoring and Assessment
10548,2018,Journal of Transport and Land Use
10549,2018,University of Minnesota Digital Conservancy (University of Minnesota)
10550,2018,Journal of Planning Literature
10551,2018,Arizona State University Library Digital Repository (Arizona State University)
10552,2019,IZA Journal of Development and Migration
10560,2019,Plant Disease
10565,2022,Environmental Education Research
10567,2022,Public Choice
10570,2019,Federal Reserve Bank of Richmond Working Papers
10574,2023,Lincoln (University of Nebraska)
10576,2017,PentecoStudies
10577,2017,Digital Commons @ Butler University (Butler University)
10578,2017,Aliso
10579,2018,Canadian Journal of Statistics
10583,2023,Transportation Research Record Journal of the Transportation Research Board
10588,2023,Knowledge and Information Systems
10593,2019,The B E Journal of Economic Analysis & Policy
10594,2019,International Journal of Current Microbiology and Applied Sciences
10597,2023,Frontiers in Soil Science
10599,2021,International Journal of Clinical Pharmacy
10607,2017,Review of Industrial Organization
10608,2023,Transport Policy
10615,2019,Rosa P: A digital library for transportation research (United States Department of Transportation)
10616,2022,Health Equity
10618,2022,Maryland Shared Open Access Repository (USMAI Consortium)
10622,2021,Reviews on Environmental Health
10624,2023,Farming System
10633,2019,Sociobiology
10634,2018,Journal of Economics & Management Strategy
10640,2023,Aquaculture
10641,2023,W&M Publish (College of William & Mary)
10643,2023,OECD SME and entrepreneurship papers
10644,2018,Smith College Studies in Social Work
10648,2023,Plants
10651,2024,Journal of Forestry
10653,2017,Journal of Economic Studies
10654,2021,Contemporary Rural Social Work Journal
10655,2021,Murray State's Digital Commons (Murray State University)
10656,2020,Illinois Digital Environment for Access to Learning and Scholarship (University of Illinois at Urbana-Champaign)
10657,2023,PLOS Water
10658,2023,Frontiers in Applied Mathematics and Statistics
10659,2022,Land Economics
10661,2022,Discover Food
10662,2023,Buildings
10663,2022,Review of Industrial Organization
10667,2021,Health Services and Outcomes Research Methodology
10670,2018,The Radical Teacher
10672,2018,D-Scholarship@Pitt (University of Pittsburgh)
10673,2020,Plant Ecology and Evolution
10675,2024,Health & Justice
10681,2018,Journal of Racial and Ethnic Health Disparities
10686,2022,Frontiers in Health Services
10689,2023,London Business School Research Online (London Business School)
10690,2020,Fisheries
10695,2023,Family Medicine
10698,2017,Journal of Insect Conservation
10700,2023,Frontiers in Dementia
10704,2023,Biometrics
10708,2019,BioProducts Business
10709,2019,Journal of Children and Media
10716,2018,Topics in Clinical Nutrition
10718,2018,Meat and Muscle Biology
10721,2024,BMC Public Health
10726,2023,Ethnobiology Letters
10728,2023,Journal of Hydrometeorology
10733,2022,Economics and Business Letters
10734,2022,Dialnet (Universidad de la Rioja)
10736,2023,IEEE Access
10738,2023,Risk Analysis
10741,2022,International Criminology
10744,2022,International Tax and Public Finance
10748,2022,International Journal of Wildland Fire
10749,2021,Artivate A Journal of Entrepreneurship in the Arts
10750,2018,Journal of Transport Geography
10754,2021,Journal of Geophysical Research Atmospheres
10756,2023,Journal of Applied Business and Economics
10757,2019,Muma Business Review
10759,2018,Collection and Curation
10760,2018,CUNY Academic Works (City University of New York)
10761,2017,Journal of Cold Regions Engineering
10765,2022,Child Indicators Research
10771,2022,Journal of Family and Economic Issues
10774,2022,Problemas del Desarrollo Revista Latinoamericana de Economía
10776,2018,Health Behavior Research
10778,2018,New Prairie Press (Kansas State University)
10779,2023,Administration and Policy in Mental Health and Mental Health Services Research
10782,2018,OSF Preprints (OSF Preprints)
10784,2020,SocArXiv (OSF Preprints)
10785,2023,F1000Research
10788,2023,The Federal Reserve Bank of Kansas City Research Working Papers
10789,2017,UC Merced Undergraduate Research Journal
10790,2019,U.S. Geological Survey circular/U.S. Geological Survey Circular
10791,2018,Weed Research
10793,2019,SSRN Electronic Journal
10795,2021,Genome Biology and Evolution
10798,2022,Yearbook of German-American Studies
10799,2021,MDPI eBooks
10816,2019,American Journal of Economics and Business Administration
10819,2018,Agricultural Research & Technology Open Access Journal
10820,2023,International journal of food science and agriculture
10821,2022,CGSPace A Repository of Agricultural Research Outputs (Consultative Group for International Agricultural Research)
10823,2024,Fishes
10828,2023,Demography
10831,2022,Journal of Clinical Sleep Medicine
10834,2023,EDIS
10836,2020,UF Journal of Undergraduate Research
10837,2022,CourseSource
10840,2024,Journal of Soil and Water Conservation
10841,2023,Exposome
10845,2021,Journal of Science Policy & Governance
10851,2023,Journal of Student Research
10853,2023,Journal of Ecology
10855,2021,Proceedings of the 57th ISOCARP World Planning Congress
10856,2022,Scholars' Bank (University of Oregon)
10859,2020,The Journal of Sociology & Social Welfare
10872,2024,BMJ Open
10876,2024,Annual Review of Sociology
10881,2018,SpringerBriefs in public health
10892,2022,International Journal of Civil Engineering Construction and Estate Management
10898,2024,Agriculture & Food Security
10903,2020,Data in Brief
10909,2020,Digital Commons@Becker (Washington University School of Medicine)
10910,2017,Journal of Global Business Insights
10911,2017,Digital Commons - University of South Florida (University of South Florida)
10912,2019,AEA Papers and Proceedings
10915,2023,Environmental Conservation
10916,2022,Small-scale Forestry
10919,2022,CABI Agriculture and Bioscience
10925,2021,Journal of Applied Business and Economics
10926,2023,Fire
10933,2022,IZA Journal of Labor Economics
10935,2023,Journal of Economic Entomology
10938,2024,The Plant Cell
10940,2024,LSU Digital Commons (Louisiana State University)
10943,2023,Gynecologic Oncology
10945,2017,Current Research in Diabetes & Obesity Journal
10951,2023,Nepal Public Policy Review
10953,2022,Open Journal of Philosophy
10955,2024,Journal of the Agricultural and Applied Economics Association
10956,2024,Q Open
10961,2024,Papers on Engineering Education Repository (American Society for Engineering Education)
10962,2023,Advancements in Agricultural Development
10967,2023,Animals
10975,2022,Journal of Public Health
10982,2023,Frontiers in Health Services
10986,2017,Osteoarthritis and Cartilage
10988,2024,Journal of Clinical and Translational Science
10991,2024,Challenges
10992,2018,Journal of Food Nutrition and Population Health
10993,2024,International Journal of Applied Geospatial Research
10995,2019,The Bovine Practitioner
10997,2024,Journal of Extension
10998,2024,Cancer Epidemiology Biomarkers & Prevention
11000,2018,Journal of Public and Nonprofit Affairs
11001,2019,International Journal of Business and Management
11004,2019,Natural resource management and policy
11005,2021,Demographic Research
11006,2022,Resources
11009,2022,Open Journal of Business and Management
11010,2023,LSU Digital Commons (Louisiana State University)
11015,2020,The International Food and Agribusiness Management Review
11017,2023,American Association of Bovine Practitioners Conference Proceedings
11020,2024,Social Science History
11026,2024,The Great Lakes Entomologist
11027,2024,ValpoScholar (Valparaiso University)
11030,2022,European Journal of Architecture and Urban Planning
11031,2024,bioRxiv (Cold Spring Harbor Laboratory)
11043,2020,Elsevier eBooks
11048,2018,Physiology & Behavior
11051,2023,Horticulturae
11055,2024,Frontiers in Nutrition
11061,2023,Frontiers in Environmental Economics
11074,2024,Preventing Chronic Disease
11081,2018,Canadian Journal of Children s Rights / Revue canadienne des droits des enfants
11082,2018,Madroño
11085,2021,Nordia Geographical Publications
11092,2019,Journal of Cotton Science
11094,2023,International Journal on Social and Education Sciences
11095,2018,The American Biology Teacher
11096,2024,The Journal of Economic History
11101,2023,Sillares Revista de Estudios Históricos
11102,2024,Arboriculture & Urban Forestry
11103,2021,IASL Annual Conference Proceedings
11116,2017,IFIP advances in information and communication technology
11119,2021,Frontiers of Biogeography
11122,2023,Pediatric Research
11124,2023,International Journal Of Scientific Advances
11130,2023,Hydrological Processes
11132,2022,Proceedings of the Thirty-First International Joint Conference on Artificial Intelligence
11134,2023,NACTA Journal
11146,2024,Preventive Medicine Reports
11148,2022,Scottish archaeological internet reports/Scottish archaeological internet report
11157,2017,Journal of Agricultural & Food Information
11158,2017,Annual Review of Nutrition
11160,2021,Food Protection Trends
11162,2024,Transboundary and Emerging Diseases
11166,2023,The Journal of Technology Studies
11168,2023,DigitalCommons - CalPoly (California State Polytechnic University)
11169,2018,European Scientific Journal ESJ
11174,2022,Journal of Caribbean Ornithology
11175,2022,Edinburgh Research Explorer (University of Edinburgh)
11177,2018,ScholarWorks - Georgia State University (Georgia State University)
11183,2021,Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences
11184,2021,ScholarSpace (University of Hawaii at Manoa)
11185,2021,AIS Electronic Library (AISeL) (Association for Information Systems)
11186,2018,Journal of Management and Sustainability
11187,2023,IASSIST Quarterly
11188,2024,Online Journal of Rural Research & Policy
11189,2022,Review of Economics of the Household
11195,2024,Nutrients
11198,2023,Sociology Mind
11200,2024,One Ecosystem
11201,2024,Check List the Journal of Biodiversity Data (Pensoft)
11203,2022,Journal of advanced military studies
11205,2020,Journal of Education Teaching and Social Studies
11208,2018,Journal of American History
11209,2022,Natural Areas Journal
11210,2023,Current Urban Studies
11211,2020,Journal of Nutrition and Health
11212,2023,Pharmacy
11215,2023,Journal of Cancer Therapy and Research
11217,2023,Proceedings in Obstetrics and Gynecology
11218,2018,Journal of Environmental Protection
11230,2019,The American Historical Review
11232,2022,Virginia Tech Publishing eBooks
11234,2017,Proceedings of the International Interdisciplinary Business-Economics Advancement Conference
11235,2024,Academic Pediatrics
11237,2023,Texas Journal of Science
11239,2023,Eastern Economic Journal
11242,2022,Journal of Youth Development
11243,2022,TigerPrints (Clemson University)
11245,2022,Journal of International Agricultural and Extension Education
11249,2024,Journal of Agricultural and Applied Economics
11254,2022,Contemporary European History
11264,2023,Fire Ecology
11265,2023,Stat
11269,2024,Columbia Journal of Environmental Law
11271,2024,Processes
11272,2017,Agricultural Research & Technology Open Access Journal
11275,2023,Antarctica A Keystone in a Changing World
11277,2022,CeON Repository (Centre for Evaluation in Education and Science)
11278,2021,International Turfgrass Society research journal
11279,2019,International Journal of Water Resources and Environmental Engineering
11280,2021,Internet Journal of Allied Health Sciences and Practice
11282,2021,"Digital Commons - CSUMB (California State University, Monterey Bay)"
11293,2022,ScholarWorks -A service of University of Vermont Libraries (University of Vermont)
11295,2024,Proceedings of the AAAI Symposium Series
11296,2023,Undergraduate Research
11298,2023,Journal of Clinical Medicine
11299,2023,Publikationsserver der Universität Regensburg (Uni Regensburg)
11303,2024,Forests
11305,2024,Journal of Agricultural Economics
11306,2021,Economica
11307,2021,White Rose Research Online (University of Leeds)
11308,2020,The Forestry Chronicle
11310,2023,EPiC series in built environment
11312,2023,Socially Responsible Modeling Computation and Design
11314,2022,The Federal Reserve Bank of Kansas City Research Working Papers
11315,2024,Journal of Substance Use and Addiction Treatment
11317,2019,Journal of Community Health Nursing
11322,2024,Spatial Information Research
11329,2022,Discover Psychology
11330,2022,The Great Lakes Entomologist
11337,2024,Natural sciences education
11338,2023,CRC Press eBooks
11344,2021,Journal of Management Policy and Practice
11345,2024,Frontiers in Water
11348,2024,Elementa Science of the Anthropocene
11349,2024,Agribusiness
11352,2024,Review of Regional Studies
11356,2023,PsyArXiv (OSF Preprints)
11357,2018,Use R!
11358,2022,International Journal of Economics and Finance
11359,2023,SURFACE: the Syracuse University Research Facility and Collaborative Environment (Syracuse University)
11361,2022,Western CEDAR (Western Washington University)
11363,2022,Risk Management and Healthcare Policy
11371,2024,Journal of Nutritional Science
11377,2019,International Journal of Trade and Global Markets
11378,2019,Southern Economic Journal
11379,2024,Journal of Zoology
11384,2019,Open Economics
11386,2023,Pediatric Diabetes
11392,2023,Economic Commentary (Federal Reserve Bank of Cleveland)
11393,2020,STEM Fellowship Journal
11394,2019,The Journal of Politics
11396,2017,RAND Corporation eBooks
11398,2022,Open Journal of Forestry
11406,2023,Staff reports
11409,2019,Index of Texas Archaeology Open Access Grey Literature from the Lone Star State
11412,2022,Humboldt Journal of Social Relations
11413,2021,VUBIR (Vrije Universiteit Brussel)
11415,2021,Publication Database PIK (Potsdam Institute for Climate Impact Research (PIK))
11416,2020,Water Policy
11417,2020,DigitalCommons @ The University of Rhode Island (The University of Rhode Island)
11418,2023,San José State University ScholarWorks (San Jose State University)
11424,2021,Digital USD (University of San Diego)
11432,2021,VUE (Voices in Urban Education)
11433,2022,IIASA PURE (International Institute of Applied Systems Analysis)
11437,2021,Journal of Educational Studies and Multidisciplinary Approaches
11448,2020,Index of Texas Archaeology Open Access Grey Literature from the Lone Star State
11450,2017,Case Western Reserve University School of Law Scholarly Commons (Case Western Reserve University)
11451,2021,Palgrave advances in bioeconomy: economics and policies
11456,2023,Frontiers in Neuroscience
11461,2023,International Journal of Rural Criminology
11464,2024,Vaccines
11466,2018,The Journal of the Torrey Botanical Society
11467,2024,Conservation Physiology
11480,2023,The Great Lakes Botanist
11481,2020,Open Journal of Business and Management
11482,2024,EDIS
11484,2022,SN Social Sciences
11487,2023,Research Society and Development
11492,2024,Journal of Environmental Studies and Sciences
11493,2023,GeoHealth
11496,2023,Rhizosphere
11503,2023,Western Birds
11504,2022,Avian Conservation and Ecology
11505,2024,Journal of Small Business and Enterprise Development
11507,2021,Michigan Journal of Environmental & Administrative Law
11509,2018,Papers in Applied Geography
11510,2019,Humboldt Journal of Social Relations
11512,2020,California Fish and Wildlife Journal
11513,2022,The Journal of Economic Inequality
11514,2024,Journal of Marriage and Family
11515,2024,Frontiers in Ecology and Evolution
11518,2021,"Library Union Catalog of Bavaria, Berlin and Brandenburg (B3Kat Repository)"
11519,2021,BiblioBoard Library Catalog (Open Research Library)
11526,2018,Texas Water Journal
11529,2019,Historical Studies in the Natural Sciences
11536,2021,California Fish and Wildlife Journal
11537,2022,Critical Planning
11540,2022,Latin American Theatre Review (The University of Kansas)
11543,2023,International Monetary Fund eBooks
11544,2020,Digital Commons - Andrews University (Andrews University)
11546,2023,Local economic and employment development
11547,2019,Public & Access Services Quarterly
11550,2022,MOspace Institutional Repository (University of Missouri)
11552,2023,Journal of the Economic and Social History of the Orient
11554,2019,Texas A&M Law Scholarship (Texas A&M University School of Law)
11555,2020,Deleted Journal
11556,2017,Papers in Applied Geography
11559,2019,OAPEN (The OAPEN Foundation)
11561,2019,INDIGO (University of Illinois at Chicago)
11565,2023,Natural Hazards Review
11566,2019,The CASE Journal
11567,2019,Studies in Business and Economics
11571,2024,Journal of Economic Geography
11572,2023,Economies
11576,2021,Brill Research Perspectives in Jesuit Studies
11578,2022,EPJ Data Science
11580,2022,Repositori digital de la UPF (Universitat Pompeu Fabra)
11586,2019,TUScholarShare (Temple University)
11589,2023,The Federal Reserve Bank of Kansas City Economic Review
11590,2019,Journal of Interdisciplinary Studies in Education
11591,2020,Cambridge University Press eBooks
11592,2018,Deleted Journal
11599,2024,Urban Science
11603,2017,Journal of Landscape Ecology
11606,2021,Harvard Data Science Review
11609,2021,The Frontiers of Society Science and Technology
11610,2022,Nepalese Linguistics
11616,2022,Air Medical Journal
11619,2022,Cambridge University Press eBooks
11620,2023,Stroke
11622,2022,Turkish Journal of Agriculture - Food Science and Technology
11623,2023,IntechOpen eBooks
11624,2022,IEEE Annals of the History of Computing
11627,2021,Portuguese Journal of Public Health
11629,2019,Journal of Global Information Technology Management
11630,2023,Creative Education
11631,2021,Proceedings on Privacy Enhancing Technologies
11635,2023,American Politics Research
11639,2023,Data & Policy
11643,2023,Revista de Investigaciones Universidad del Quindío
11647,2023,Journal of Education and Practice
11649,2019,Food Culture & Society
11657,2019,Journal of Immunological Sciences
11658,2023,Journal of Educational Leadership Policy and Practice
11661,2022,"The international archives of the photogrammetry, remote sensing and spatial information sciences/International archives of the photogrammetry, remote sensing and spatial information sciences"
11663,2023,The urban book series
11664,2024,Frontiers in Organizational Psychology
11665,2024,OECD Economics Department working papers
11669,2023,ASCE OPEN Multidisciplinary Journal of Civil Engineering
11671,2022,Journal of World-Systems Research
11674,2023,Theory & Practice in Rural Education
11675,2020,Journal of Environmental Science and Engineering Technology
11678,2017,College & Research Libraries News
11680,2023,UCL Discovery (University College London)
11681,2023,Maryland Shared Open Access Repository (USMAI Consortium)
11689,2023,Working Paper Series
11698,2019,Lake and Reservoir Management
11700,2023,Journal of Nursing Scholarship
11702,2024,Journal of Urban Affairs
11705,2023,Journal of Diabetes Mellitus
11708,2024,Frontiers in Pharmacology
11712,2023,Nutrition Metabolism and Cardiovascular Diseases
11714,2021,University Press of Colorado eBooks
11717,2021,W&M Publish (College of William & Mary)
11719,2021,ScholarWorks @ Georgia State University (Georgia State University)
11721,2024,ASCE OPEN Multidisciplinary Journal of Civil Engineering
11723,2022,Journal of Immigrant and Minority Health
11734,2021,Maine policy review
11737,2018,The Undergraduate Historical Journal at UC Merced
11738,2024,Numeracy
11740,2024,Frontiers in Veterinary Science
11745,2023,IIASA PURE (International Institute of Applied Systems Analysis)
11747,2022,Small Business Institute Journal
11748,2024,Scholar Works  (Boise State University)
11749,2023,Midwest Social Sciences Journal
11750,2023,ValpoScholar (Valparaiso University)
11756,2024,Advancements in Agricultural Development
11757,2023,Law and History Review
11758,2019,Applied Environmental Education & Communication
11761,2019,Boydell and Brewer eBooks
11762,2024,Frontiers in Climate
11763,2022,Online Journal of Rural Nursing and Health Care
11765,2023,Research on World Agricultural Economy
11767,2023,Frontiers in Ecology and Evolution
11769,2022,Researchers World – Journal of Arts Science & Commerce
11770,2018,The American Review of Canadian Studies
11771,2021,Athens Journal of Sciences
11773,2023,Cambridge University Press eBooks
11776,2019,Azafea Revista de Filosofía
11777,2019,Gredos (University of Salamanca)
11778,2023,Advances in Economics Management and Political Sciences
11779,2018,The Journal of Environment & Development
11781,2023,International Journal for Research in Applied Science and Engineering Technology
11782,2024,HortTechnology
11783,2024,AMBIO
11785,2020,The Advocate
11786,2019,Numeracy
11788,2019,Digital Commons - University of South Florida (University of South Florida)
11791,2023,Migration & Diversity
11792,2024,Journal of Special Education Preparation
11793,2018,Modern Judaism - A Journal of Jewish Ideas and Experience
11795,2019,Journal of Historical Geography
11796,2023,Migration and Development
11797,2023,Knowledge@UChicago (University of Chicago)
11798,2022,Memorias
11805,2024,Climate
11808,2023,Cardiology in the Young
11810,2023,"Library Union Catalog of Bavaria, Berlin and Brandenburg (B3Kat Repository)"
11811,2023,Radboud Repository (Radboud University)
11813,2019,History of Retailing and Consumption
11816,2020,Journal of Economics and Sustainable Development
11818,2017,Journal of Mathematical Sociology
11819,2018,MATEC Web of Conferences
11821,2018,Springer Link (Chiba Institute of Technology)
11822,2017,Nursing Forum
11824,2024,Environmental Research Letters
11825,2024,New University of Lisbon's Repository (New University of Lisbon)
11826,2021,Association of Mexican American Educators Journal
11827,2024,Complexity
11830,2023,International Journal of Applied Economics Finance and Accounting
11831,2018,Wetland Science and Practice
11832,2018,International Statistical Review
11833,2020,Value in Health
11834,2022,International Journal of English and Cultural Studies
11835,2024,Environmental Monitoring and Assessment
11838,2022,British Journal of American Legal Studies
11839,2023,JMIR AI
11841,2019,Notices of the American Mathematical Society
11843,2023,Public Administration and Policy
11844,2023,Genealogy
11845,2023,WSEAS TRANSACTIONS ON ENVIRONMENT AND DEVELOPMENT
11846,2017,The Journal of Latin American and Caribbean Anthropology
11858,2023,Environmental discourses in science education
11860,2022,Business and Politics
11862,2023,The Open Public Health Journal
11865,2018,2018 IEEE International Conference on Cyborg and Bionic Systems (CBS)
11866,2022,Journal of Public Health Issues and Practices
11867,2022,"Advances in economics, business and management research/Advances in Economics, Business and Management Research"
11873,2021,Journal of Educational Research and Practice
11874,2023,Journal of Genocide Research
11876,2022,Journal of Science Policy & Governance
11877,2024,Journal of Regional Science
11878,2024,Econstor (Econstor)
11880,2024,Journal of Applied Business and Economics
11881,2023,Christian Journal for Global Health
11882,2017,International Journal of Nursing
11883,2024,Environmental Management
11885,2023,The Biochemist
11887,2018,Journal of Ecological Society
11888,2020,Journal of Humanities and Social Sciences Studies
11891,2023,World Trade Review
11893,2023,Arboriculture & Urban Forestry
11897,2022,Journal of Black Studies
11898,2022,Public Administration and Civil Service
11899,2023,North Carolina Medical Journal
11902,2018,American Journal of Ophthalmology
11908,2023,Econometrica
11909,2018,BMC Health Services Research
11913,2023,Elementa Science of the Anthropocene
11918,2017,American Journal of Public Health
11925,2018,Enlighten: Publications (The University of Glasgow)
11933,2021,American Journal of Agriculture
11934,2022,Annual Review of Anthropology
11935,2018,The Annals of Family Medicine
11940,2021,Journal of Research in Technical Careers
11942,2018,Interest Groups & Advocacy
11943,2017,Weather Climate and Society
11944,2023,The Journal of STEM Outreach
11945,2022,Commonwealth
11946,2018,The Journal of Law Medicine & Ethics
11948,2018,Digital Commons - University of Georgia School of Law (University of Georgia)
11950,2018,Environmental Health Insights
11954,2021,Journal of Labor Economics
11955,2021,Knowledge@UChicago (University of Chicago)
11959,2020,EPJ Data Science
11967,2023,U.S. Geological Survey circular/U.S. Geological Survey Circular
11968,2021,Explorations in Economic History
11970,2021,St Andrews Research Repository (St Andrews Research Repository)
11972,2018,Latin American Economic Review
11974,2018,Americanae (AECID Library)
11977,2018,El Servicio de Difusión de la Creación Intelectual (National University of La Plata)
11978,2023,Venereology
11979,2021,Research Society and Development
11984,2021,Global Public Health
11985,2021,Graduate Institute Geneva Institutional Repository (Graduate Institute of International and Development Studies)
11989,2023,Toulouse Capitole Publications (University Toulouse 1 Capitole)
11991,2018,Economics and Politics
11993,2021,Online Journal of Rural Research & Policy
11994,2023,Conservation Science and Practice
12001,2018,Groundings Development Pan-Africanism and Critical Theory
12004,2018,Australian Social Work
12005,2018,International Journal of Water Resources Development
12015,2018,Journal of Geovisualization and Spatial Analysis
12016,2019,Journal of Human Resource and Sustainability Studies
12027,2020,Iberoamericana – Nordic Journal of Latin American and Caribbean Studies
12029,2018,Birth Defects Research
12033,2020,Journal of Natural Resources Policy Research
